"Region;""Schadstoff"";""Einheit"";""NFR_Code"";""NFR_Sektor"";""Quelle"";""Datenstand"";""Jahr"";""Werte""",,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2009"";193",4.59207E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2010"";195",047214919973,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2011"";186",6.15356E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2012"";181",7.23806E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2013"";182",3.74591E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2014"";175",021278610506,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2015"";171",9.1314E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2016"";164",042279428276,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2017"";155",16687219116,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2018"";143",2.4366E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2019"";134",4.22765E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2020"";113",045051292603,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2021"";111",6.92113E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2022"";103",4.20407E+11,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1990"";17",7.81837E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1991"";17",1.97906E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1992"";14",4.6946E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1993"";12",1.75644E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1994"";11",1.52108E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1995"";12",7.40265E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1996"";11",1.2592E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1997"";11",9.96982E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1998"";10",9.34656E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1999"";10",6.02125E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2000"";10",9.00418E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2001"";12",4.60858E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2002"";12",0108340447362,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2003"";13",5.81664E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2004"";13",8.38278E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2005"";14",3.04732E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2006"";14",4.44644E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2007"";14",3.53433E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2008"";12",8.59969E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2009"";11",6.74817E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2010"";12",7.99798E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2011"";12",4.0465E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2012"";12",1.52613E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2013"";11",5.13385E+11,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2014"";11",14587724454,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2015"";11",8.55037E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2016"";11",0319613848413,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2017"";11",7.41517E+11,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2018"";10",8.80065E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2019"";10",3.84903E+12,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2020"";9",9.31095E+13,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2021"";10",0705864922939,,
"AT;""NOX"";""kt"";""1 A 1"";""Energy Industries"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2022"";9",6.5944E+13,,
